"ExperimentName","Subject","Session","SessionDate","SessionTime","Block","metablock","TaskType","Trial","Answer","Condition","Correct","CorrectResponse","DifferenceCorrect","LeftNumber","RightNumber","Verification","Problem.ACC","Problem.CRESP","Problem.RESP","Problem.RT","StartFixation.OnsetTime","Problem.OnsetTime","condition","Task","run"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",1,12,"L","I",2,1,3,9,13,1,2,2,2582,20560,27094,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",2,12,"L","C",1,0,4,8,12,1,1,1,2262,20560,33627,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",3,13,"L","C",1,0,5,8,13,1,1,1,2719,20560,39660,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",4,14,"L","C",1,0,8,6,14,1,1,1,3997,20560,45193,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",5,13,"L","I",2,1,9,4,14,1,2,2,2698,20560,51226,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",6,14,"L","I",2,2,9,5,16,1,2,2,2250,20560,57759,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",1,5,"S","C",1,0,2,3,5,1,1,1,2008,20560,69309,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",2,7,"S","I",2,2,3,4,9,1,2,2,1823,20560,75842,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",3,8,"S","C",1,0,6,2,8,1,1,1,2297,20560,81375,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",4,8,"S","C",1,0,5,3,8,1,1,1,1681,20560,87408,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",5,10,"S","C",1,0,6,4,10,1,1,1,1642,20560,92941,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",6,7,"S","I",2,1,2,5,8,1,2,2,1941,20560,99475,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",1,9,"S","C",1,0,2,7,9,1,1,1,2214,20560,117524,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",2,6,"S","I",2,2,4,2,8,1,2,2,1637,20560,123057,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",3,9,"S","C",1,0,3,6,9,1,1,1,2154,20560,129590,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",4,10,"S","I",2,1,8,2,11,1,2,2,1616,20560,135623,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",5,9,"S","I",2,1,4,5,10,1,2,2,2517,20560,142140,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",6,10,"S","I",2,2,7,3,12,1,2,2,1810,20560,147673,"small","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",1,8,"Plus1","I",2,1,7,1,9,1,2,2,1723,20560,159723,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",2,6,"Plus1","I",2,2,5,1,8,1,2,2,1694,20560,165256,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",3,7,"Plus1","C",1,0,6,1,7,1,1,1,1878,20560,171289,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",4,9,"Plus1","I",2,2,8,1,11,1,2,2,1352,20560,177822,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",5,5,"Plus1","I",2,1,4,1,6,1,2,2,1546,20560,183355,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",6,4,"Plus1","C",1,0,3,1,4,1,1,1,2183,20560,189888,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",1,13,"L","I",2,1,6,7,14,1,2,2,3008,20560,207938,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",2,11,"L","C",1,0,2,9,11,1,1,1,2460,20560,214471,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",3,11,"L","I",2,2,5,6,13,1,2,2,2795,20560,220004,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",4,12,"L","C",1,0,7,5,12,1,1,1,3552,20560,226037,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",5,11,"L","C",1,0,7,4,11,1,1,1,2546,20560,232570,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",6,11,"L","I",2,2,8,3,13,1,2,2,2061,20560,238603,"large","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",1,3,"Plus1","C",1,0,2,1,3,1,1,1,1777,20560,256153,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",2,9,"Plus1","C",1,0,8,1,9,1,1,1,1586,20560,262686,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",3,4,"Plus1","I",2,1,3,1,5,1,2,2,2882,20560,268719,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",4,10,"Plus1","I",2,2,9,1,12,1,2,2,2267,20560,274252,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",5,8,"Plus1","C",1,0,7,1,8,1,1,1,1455,20560,280785,"plus1","arithmetic",1
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",6,5,"Plus1","C",1,0,4,1,5,1,1,1,1589,20560,286319,"plus1","arithmetic",1
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,1,3,"LargeProblem",1,11,"L","C",1,0,6,5,11,1,1,1,2647,29247,35780,"large","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,1,3,"LargeProblem",2,11,"L","I",2,1,4,7,12,1,2,2,1850,29247,41813,"large","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,1,3,"LargeProblem",3,13,"L","C",1,0,4,9,13,1,1,1,1637,29247,48346,"large","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,1,3,"LargeProblem",4,12,"L","C",1,0,9,3,12,1,1,1,3186,29247,53879,"large","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,1,3,"LargeProblem",5,14,"L","I",2,1,6,8,15,1,2,2,4463,29247,59912,"large","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,1,3,"LargeProblem",6,11,"L","C",1,0,3,8,11,1,1,1,1848,29247,66445,"large","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,2,1,"Plus1",1,3,"Plus1","I",2,1,2,1,4,1,2,2,1837,29247,77995,"plus1","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,2,1,"Plus1",2,6,"Plus1","I",2,1,5,1,7,1,2,2,1440,29247,84028,"plus1","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,2,1,"Plus1",3,3,"Plus1","C",1,0,2,1,3,1,1,1,1504,29247,90561,"plus1","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,2,1,"Plus1",4,5,"Plus1","I",2,2,4,1,7,1,2,2,1143,29247,96078,"plus1","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,2,1,"Plus1",5,10,"Plus1","I",2,2,9,1,12,1,2,2,1673,29247,102111,"plus1","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,2,1,"Plus1",6,8,"Plus1","C",1,0,7,1,8,1,1,1,1392,29247,108644,"plus1","arithmetic",2
"Arithmetic_Run2",1,1,"05-12-2015",19:28:02,3,6,"SmallProblem",1,9,"S","C",1,0,5,4,9,0,1,2,1911,29247,120194,"incorrect","arithmetic",2
