"ExperimentName","Subject","Session","SessionDate","SessionTime","Block","metablock","TaskType","Trial","Answer","Condition","Correct","CorrectResponse","DifferenceCorrect","LeftNumber","RightNumber","Verification","Problem.ACC","Problem.CRESP","Problem.RESP","Problem.RT","run","Task"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",1,12,"L","I",2,1,3,9,13,1,2,2,2582,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",2,12,"L","C",1,0,4,8,12,1,1,1,2262,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",3,13,"L","C",1,0,5,8,13,1,1,1,2719,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",4,14,"L","C",1,0,8,6,14,1,1,1,3997,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",5,13,"L","I",2,1,9,4,14,1,2,2,2698,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,1,3,"LargeProblem",6,14,"L","I",2,2,9,5,16,1,2,2,2250,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",1,5,"S","C",1,0,2,3,5,1,1,1,2008,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",2,7,"S","I",2,2,3,4,9,1,2,2,1823,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",3,8,"S","C",1,0,6,2,8,1,1,1,2297,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",4,8,"S","C",1,0,5,3,8,1,1,1,1681,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",5,10,"S","C",1,0,6,4,10,1,1,1,1642,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,2,6,"SmallProblem",6,7,"S","I",2,1,2,5,8,1,2,2,1941,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",1,9,"S","C",1,0,2,7,9,1,1,1,2214,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",2,6,"S","I",2,2,4,2,8,1,2,2,1637,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",3,9,"S","C",1,0,3,6,9,1,1,1,2154,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",4,10,"S","I",2,1,8,2,11,1,2,2,1616,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",5,9,"S","I",2,1,4,5,10,1,2,2,2517,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,3,2,"SmallProblem",6,10,"S","I",2,2,7,3,12,1,2,2,1810,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",1,8,"Plus1","I",2,1,7,1,9,1,2,2,1723,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",2,6,"Plus1","I",2,2,5,1,8,1,2,2,1694,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",3,7,"Plus1","C",1,0,6,1,7,1,1,1,1878,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",4,9,"Plus1","I",2,2,8,1,11,1,2,2,1352,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",5,5,"Plus1","I",2,1,4,1,6,1,2,2,1546,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,4,5,"Plus1",6,4,"Plus1","C",1,0,3,1,4,1,1,1,2183,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",1,13,"L","I",2,1,6,7,14,1,2,2,3008,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",2,11,"L","C",1,0,2,9,11,1,1,1,2460,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",3,11,"L","I",2,2,5,6,13,1,2,2,2795,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",4,12,"L","C",1,0,7,5,12,1,1,1,3552,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",5,11,"L","C",1,0,7,4,11,1,1,1,2546,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,5,4,"LargeProblem",6,11,"L","I",2,2,8,3,13,1,2,2,2061,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",1,3,"Plus1","C",1,0,2,1,3,1,1,1,1777,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",2,9,"Plus1","C",1,0,8,1,9,1,1,1,1586,1,"arithmetic"
"Arithmetic_Run1",1,1,"05-12-2015",19:22:31,6,1,"Plus1",3,4,"Plus1","I",2,1,3,1,5,1,2,2,2882,1,"arithmetic"
