"ExperimentName","Subject","Session","SessionDate","SessionTime","Block","metablock","TaskType","Trial","CorrectResponse","ITIs","left_stim","right_stim","task.ACC","task.RESP","task.RT","run"
"Matching_Run1",1,1,"05-12-2015",19:33:59,1,5,"ShapeMatching",1,1,3,"S2","S2",1,1,1455,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,1,5,"ShapeMatching",2,2,1,"S5","S6",1,2,980,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,1,5,"ShapeMatching",3,1,2,"S6","S6",1,1,1151,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,1,5,"ShapeMatching",4,2,3,"S9","S1",1,2,1063,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,1,5,"ShapeMatching",5,1,1,"S1","S1",1,1,606,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,1,5,"ShapeMatching",6,1,2,"S9","S9",1,1,1268,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,2,4,"ShapeMatching",1,1,1,"S5","S5",1,1,1471,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,2,4,"ShapeMatching",2,2,3,"S3","S4",1,2,1179,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,2,4,"ShapeMatching",3,2,2,"S7","S8",1,2,1120,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,2,4,"ShapeMatching",4,2,3,"S2","S3",1,2,1364,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,2,4,"ShapeMatching",5,1,2,"S4","S4",0,2,1030,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,2,4,"ShapeMatching",6,1,1,"S3","S3",1,1,1289,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,3,6,"ShapeMatching",1,2,2,"S1","S2",1,2,1520,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,3,6,"ShapeMatching",2,2,1,"S6","S7",1,2,1061,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,3,6,"ShapeMatching",3,2,3,"S4","S5",1,2,1083,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,3,6,"ShapeMatching",4,1,1,"S7","S7",1,1,1377,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,3,6,"ShapeMatching",5,2,3,"S8","S9",1,2,1265,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,3,6,"ShapeMatching",6,1,2,"S8","S8",1,1,1146,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,4,1,"NumberMatching",1,2,1,"N9","D7_2",0,NA,0,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,4,1,"NumberMatching",2,1,3,"N1","D1_1",1,1,1452,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,4,1,"NumberMatching",3,1,2,"D2_2","N2",1,1,1149,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,4,1,"NumberMatching",4,1,1,"D4_2","N4",1,1,1089,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,4,1,"NumberMatching",5,2,3,"D8_1","N5",1,2,1613,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,4,1,"NumberMatching",6,1,2,"N5","D5_1",1,1,1289,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,5,3,"NumberMatching",1,2,3,"N5","D1_2",1,2,1308,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,5,3,"NumberMatching",2,1,2,"D8_2","N8",0,2,1667,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,5,3,"NumberMatching",3,1,1,"D6_2","N6",0,NA,0,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,5,3,"NumberMatching",4,1,3,"N7","D7_1",1,1,1586,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,5,3,"NumberMatching",5,2,1,"D4_1","N8",1,2,987,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,5,3,"NumberMatching",6,2,2,"D6_1","N3",1,2,1170,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,6,2,"NumberMatching",1,2,1,"N3","D5_2",1,2,1089,1
"Matching_Run1",1,1,"05-12-2015",19:33:59,6,2,"NumberMatching",2,2,3,"D2_1","N5",1,2,1173,1
